timestamp;sensor;context_sensor;date (America/Argentina/Buenos_Aires)
1684164827038;4095.0;{};2023-05-15 12:33:47.038000-03:00
1684164826037;4095.0;{};2023-05-15 12:33:46.037000-03:00
1684164825023;4095.0;{};2023-05-15 12:33:45.023000-03:00
1684164824052;4095.0;{};2023-05-15 12:33:44.052000-03:00
1684164823040;4095.0;{};2023-05-15 12:33:43.040000-03:00
1684164822045;4095.0;{};2023-05-15 12:33:42.045000-03:00
1684164821027;4095.0;{};2023-05-15 12:33:41.027000-03:00
1684164820521;4095.0;{};2023-05-15 12:33:40.521000-03:00
1684164819479;4095.0;{};2023-05-15 12:33:39.479000-03:00
1684164818559;4095.0;{};2023-05-15 12:33:38.559000-03:00
1684164817011;4095.0;{};2023-05-15 12:33:37.011000-03:00
1684164816462;3343.0;{};2023-05-15 12:33:36.462000-03:00
1684164815454;4095.0;{};2023-05-15 12:33:35.454000-03:00
1684164813508;4095.0;{};2023-05-15 12:33:33.508000-03:00
1684164810463;4095.0;{};2023-05-15 12:33:30.463000-03:00
1684164792158;4095.0;{};2023-05-15 12:33:12.158000-03:00
1684164791288;4095.0;{};2023-05-15 12:33:11.288000-03:00
1684164789669;4095.0;{};2023-05-15 12:33:09.669000-03:00
1684164788154;4095.0;{};2023-05-15 12:33:08.154000-03:00
1684164786128;4095.0;{};2023-05-15 12:33:06.128000-03:00
1684164785112;4095.0;{};2023-05-15 12:33:05.112000-03:00
1684164784111;4095.0;{};2023-05-15 12:33:04.111000-03:00
1684164783109;4095.0;{};2023-05-15 12:33:03.109000-03:00
1684164782119;4095.0;{};2023-05-15 12:33:02.119000-03:00
1684163935043;0.0;{};2023-05-15 12:18:55.043000-03:00
1684163934031;0.0;{};2023-05-15 12:18:54.031000-03:00
1684163933039;0.0;{};2023-05-15 12:18:53.039000-03:00
1684163932041;0.0;{};2023-05-15 12:18:52.041000-03:00
1684163931033;0.0;{};2023-05-15 12:18:51.033000-03:00
1684163930022;0.0;{};2023-05-15 12:18:50.022000-03:00
1684163929039;0.0;{};2023-05-15 12:18:49.039000-03:00
1684163928018;0.0;{};2023-05-15 12:18:48.018000-03:00
1684163927020;0.0;{};2023-05-15 12:18:47.020000-03:00
1684163926027;0.0;{};2023-05-15 12:18:46.027000-03:00
1684163925002;0.0;{};2023-05-15 12:18:45.002000-03:00
1684163924731;0.0;{};2023-05-15 12:18:44.731000-03:00
1684163922140;0.0;{};2023-05-15 12:18:42.140000-03:00
1684163921715;0.0;{};2023-05-15 12:18:41.715000-03:00
1684163919063;0.0;{};2023-05-15 12:18:39.063000-03:00
1684163918744;0.0;{};2023-05-15 12:18:38.744000-03:00
1684163917043;0.0;{};2023-05-15 12:18:37.043000-03:00
1684163916197;0.0;{};2023-05-15 12:18:36.197000-03:00
1684163914004;0.0;{};2023-05-15 12:18:34.004000-03:00
1684163913003;0.0;{};2023-05-15 12:18:33.003000-03:00
1684163912488;0.0;{};2023-05-15 12:18:32.488000-03:00
1684163911017;0.0;{};2023-05-15 12:18:31.017000-03:00
1684163910237;0.0;{};2023-05-15 12:18:30.237000-03:00
1684163908230;0.0;{};2023-05-15 12:18:28.230000-03:00
1684163905231;0.0;{};2023-05-15 12:18:25.231000-03:00
1684163903696;0.0;{};2023-05-15 12:18:23.696000-03:00
1684163901637;0.0;{};2023-05-15 12:18:21.637000-03:00
